cluster,city,region,planned_path,status,overwrite_risk,note
social-media-beheer,Zoetermeer,Zuid-Holland,/social-media-beheer-zoetermeer/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
hosting,Zoetermeer,Zuid-Holland,/hosting-zoetermeer/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
branding-design,Zoetermeer,Zuid-Holland,/branding-design-zoetermeer/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
webdesign,Zoetermeer,Zuid-Holland,/webdesign/webdesign-zoetermeer/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
seo-bureau,Zoetermeer,Zuid-Holland,/seo-bureau-zoetermeer/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
website-laten-maken,Spijkenisse,Zuid-Holland,/website-laten-maken-spijkenisse/,existing-recovery,none,Regional cluster plan; only first-batch rows are generated in this phase.
webshop-laten-maken,Spijkenisse,Zuid-Holland,/webshop-laten-maken-spijkenisse/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
online-marketing,Spijkenisse,Zuid-Holland,/online-marketing/online-marketing-spijkenisse/,existing-recovery,none,Regional cluster plan; only first-batch rows are generated in this phase.
social-media-beheer,Spijkenisse,Zuid-Holland,/social-media-beheer-spijkenisse/,existing-recovery,none,Regional cluster plan; only first-batch rows are generated in this phase.
hosting,Spijkenisse,Zuid-Holland,/hosting-spijkenisse/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
branding-design,Spijkenisse,Zuid-Holland,/branding-design-spijkenisse/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
webdesign,Spijkenisse,Zuid-Holland,/webdesign/webdesign-spijkenisse/,existing-recovery,none,Regional cluster plan; only first-batch rows are generated in this phase.
seo-bureau,Spijkenisse,Zuid-Holland,/seo-bureau-spijkenisse/,existing-recovery,none,Regional cluster plan; only first-batch rows are generated in this phase.
website-laten-maken,Brielle,Zuid-Holland,/website-laten-maken-brielle/,existing-recovery,none,Regional cluster plan; only first-batch rows are generated in this phase.
webshop-laten-maken,Brielle,Zuid-Holland,/webshop-laten-maken-brielle/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
online-marketing,Brielle,Zuid-Holland,/online-marketing/online-marketing-brielle/,existing-recovery,none,Regional cluster plan; only first-batch rows are generated in this phase.
social-media-beheer,Brielle,Zuid-Holland,/social-media-beheer-brielle/,existing-recovery,none,Regional cluster plan; only first-batch rows are generated in this phase.
hosting,Brielle,Zuid-Holland,/hosting-brielle/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
branding-design,Brielle,Zuid-Holland,/branding-design-brielle/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
webdesign,Brielle,Zuid-Holland,/webdesign/webdesign-brielle/,existing-recovery,none,Regional cluster plan; only first-batch rows are generated in this phase.
seo-bureau,Brielle,Zuid-Holland,/seo-bureau-brielle/,existing-recovery,none,Regional cluster plan; only first-batch rows are generated in this phase.
website-laten-maken,Hellevoetsluis,Zuid-Holland,/website-laten-maken-hellevoetsluis/,existing-recovery,none,Regional cluster plan; only first-batch rows are generated in this phase.
webshop-laten-maken,Hellevoetsluis,Zuid-Holland,/webshop-laten-maken-hellevoetsluis/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
online-marketing,Hellevoetsluis,Zuid-Holland,/online-marketing/online-marketing-hellevoetsluis/,existing-recovery,none,Regional cluster plan; only first-batch rows are generated in this phase.
social-media-beheer,Hellevoetsluis,Zuid-Holland,/social-media-beheer-hellevoetsluis/,existing-recovery,none,Regional cluster plan; only first-batch rows are generated in this phase.
hosting,Hellevoetsluis,Zuid-Holland,/hosting-hellevoetsluis/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
branding-design,Hellevoetsluis,Zuid-Holland,/branding-design-hellevoetsluis/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
webdesign,Hellevoetsluis,Zuid-Holland,/webdesign/webdesign-hellevoetsluis/,existing-recovery,none,Regional cluster plan; only first-batch rows are generated in this phase.
seo-bureau,Hellevoetsluis,Zuid-Holland,/seo-bureau-hellevoetsluis/,existing-recovery,none,Regional cluster plan; only first-batch rows are generated in this phase.
website-laten-maken,Goes,Zeeland,/website-laten-maken-goes/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
webshop-laten-maken,Goes,Zeeland,/webshop-laten-maken-goes/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
online-marketing,Goes,Zeeland,/online-marketing/online-marketing-goes/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
social-media-beheer,Goes,Zeeland,/social-media-beheer-goes/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
hosting,Goes,Zeeland,/hosting-goes/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
branding-design,Goes,Zeeland,/branding-design-goes/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
webdesign,Goes,Zeeland,/webdesign/webdesign-goes/,existing-recovery,none,Regional cluster plan; only first-batch rows are generated in this phase.
seo-bureau,Goes,Zeeland,/seo-bureau-goes/,existing-recovery,none,Regional cluster plan; only first-batch rows are generated in this phase.
website-laten-maken,Middelburg,Zeeland,/website-laten-maken-middelburg/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
webshop-laten-maken,Middelburg,Zeeland,/webshop-laten-maken-middelburg/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
online-marketing,Middelburg,Zeeland,/online-marketing/online-marketing-middelburg/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
social-media-beheer,Middelburg,Zeeland,/social-media-beheer-middelburg/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
hosting,Middelburg,Zeeland,/hosting-middelburg/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
branding-design,Middelburg,Zeeland,/branding-design-middelburg/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
webdesign,Middelburg,Zeeland,/webdesign/webdesign-middelburg/,existing-recovery,none,Regional cluster plan; only first-batch rows are generated in this phase.
seo-bureau,Middelburg,Zeeland,/seo-bureau-middelburg/,existing-recovery,none,Regional cluster plan; only first-batch rows are generated in this phase.
website-laten-maken,Vlissingen,Zeeland,/website-laten-maken-vlissingen/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
webshop-laten-maken,Vlissingen,Zeeland,/webshop-laten-maken-vlissingen/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
online-marketing,Vlissingen,Zeeland,/online-marketing/online-marketing-vlissingen/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
social-media-beheer,Vlissingen,Zeeland,/social-media-beheer-vlissingen/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
hosting,Vlissingen,Zeeland,/hosting-vlissingen/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
branding-design,Vlissingen,Zeeland,/branding-design-vlissingen/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
webdesign,Vlissingen,Zeeland,/webdesign/webdesign-vlissingen/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
seo-bureau,Vlissingen,Zeeland,/seo-bureau-vlissingen/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
website-laten-maken,Terneuzen,Zeeland,/website-laten-maken-terneuzen/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
webshop-laten-maken,Terneuzen,Zeeland,/webshop-laten-maken-terneuzen/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
online-marketing,Terneuzen,Zeeland,/online-marketing/online-marketing-terneuzen/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
social-media-beheer,Terneuzen,Zeeland,/social-media-beheer-terneuzen/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
hosting,Terneuzen,Zeeland,/hosting-terneuzen/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
branding-design,Terneuzen,Zeeland,/branding-design-terneuzen/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
webdesign,Terneuzen,Zeeland,/webdesign/webdesign-terneuzen/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
seo-bureau,Terneuzen,Zeeland,/seo-bureau-terneuzen/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
website-laten-maken,Zierikzee,Zeeland,/website-laten-maken-zierikzee/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
webshop-laten-maken,Zierikzee,Zeeland,/webshop-laten-maken-zierikzee/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
online-marketing,Zierikzee,Zeeland,/online-marketing/online-marketing-zierikzee/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
social-media-beheer,Zierikzee,Zeeland,/social-media-beheer-zierikzee/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
hosting,Zierikzee,Zeeland,/hosting-zierikzee/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
branding-design,Zierikzee,Zeeland,/branding-design-zierikzee/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
webdesign,Zierikzee,Zeeland,/webdesign/webdesign-zierikzee/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
seo-bureau,Zierikzee,Zeeland,/seo-bureau-zierikzee/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
website-laten-maken,Hulst,Zeeland,/website-laten-maken-hulst/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
webshop-laten-maken,Hulst,Zeeland,/webshop-laten-maken-hulst/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
online-marketing,Hulst,Zeeland,/online-marketing/online-marketing-hulst/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
social-media-beheer,Hulst,Zeeland,/social-media-beheer-hulst/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
hosting,Hulst,Zeeland,/hosting-hulst/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
branding-design,Hulst,Zeeland,/branding-design-hulst/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
webdesign,Hulst,Zeeland,/webdesign/webdesign-hulst/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
seo-bureau,Hulst,Zeeland,/seo-bureau-hulst/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
website-laten-maken,Sluis,Zeeland,/website-laten-maken-sluis/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
webshop-laten-maken,Sluis,Zeeland,/webshop-laten-maken-sluis/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
online-marketing,Sluis,Zeeland,/online-marketing/online-marketing-sluis/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
social-media-beheer,Sluis,Zeeland,/social-media-beheer-sluis/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
hosting,Sluis,Zeeland,/hosting-sluis/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
branding-design,Sluis,Zeeland,/branding-design-sluis/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
webdesign,Sluis,Zeeland,/webdesign/webdesign-sluis/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
seo-bureau,Sluis,Zeeland,/seo-bureau-sluis/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
website-laten-maken,Kapelle,Zeeland,/website-laten-maken-kapelle/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
webshop-laten-maken,Kapelle,Zeeland,/webshop-laten-maken-kapelle/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
online-marketing,Kapelle,Zeeland,/online-marketing/online-marketing-kapelle/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
social-media-beheer,Kapelle,Zeeland,/social-media-beheer-kapelle/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
hosting,Kapelle,Zeeland,/hosting-kapelle/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
branding-design,Kapelle,Zeeland,/branding-design-kapelle/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
webdesign,Kapelle,Zeeland,/webdesign/webdesign-kapelle/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
seo-bureau,Kapelle,Zeeland,/seo-bureau-kapelle/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
website-laten-maken,Tholen,Zeeland,/website-laten-maken-tholen/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
webshop-laten-maken,Tholen,Zeeland,/webshop-laten-maken-tholen/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
online-marketing,Tholen,Zeeland,/online-marketing/online-marketing-tholen/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
social-media-beheer,Tholen,Zeeland,/social-media-beheer-tholen/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
hosting,Tholen,Zeeland,/hosting-tholen/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
branding-design,Tholen,Zeeland,/branding-design-tholen/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
webdesign,Tholen,Zeeland,/webdesign/webdesign-tholen/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
seo-bureau,Tholen,Zeeland,/seo-bureau-tholen/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
website-laten-maken,Domburg,Zeeland,/website-laten-maken-domburg/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
webshop-laten-maken,Domburg,Zeeland,/webshop-laten-maken-domburg/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
online-marketing,Domburg,Zeeland,/online-marketing/online-marketing-domburg/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
social-media-beheer,Domburg,Zeeland,/social-media-beheer-domburg/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
hosting,Domburg,Zeeland,/hosting-domburg/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
branding-design,Domburg,Zeeland,/branding-design-domburg/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
webdesign,Domburg,Zeeland,/webdesign/webdesign-domburg/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
seo-bureau,Domburg,Zeeland,/seo-bureau-domburg/,existing-recovery,none,Regional cluster plan; only first-batch rows are generated in this phase.
website-laten-maken,Zoutelande,Zeeland,/website-laten-maken-zoutelande/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
webshop-laten-maken,Zoutelande,Zeeland,/webshop-laten-maken-zoutelande/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
online-marketing,Zoutelande,Zeeland,/online-marketing/online-marketing-zoutelande/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
social-media-beheer,Zoutelande,Zeeland,/social-media-beheer-zoutelande/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
hosting,Zoutelande,Zeeland,/hosting-zoutelande/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
branding-design,Zoutelande,Zeeland,/branding-design-zoutelande/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
webdesign,Zoutelande,Zeeland,/webdesign/webdesign-zoutelande/,planned-controlled,none,Regional cluster plan; only first-batch rows are generated in this phase.
seo-bureau,Zoutelande,Zeeland,/seo-bureau-zoutelande/,existing-recovery,none,Regional cluster plan; only first-batch rows are generated in this phase.
website-laten-maken,Breda,Noord-Brabant,/website-laten-maken-breda/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
webshop-laten-maken,Breda,Noord-Brabant,/webshop-laten-maken-breda/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
online-marketing,Breda,Noord-Brabant,/online-marketing/online-marketing-breda/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
social-media-beheer,Breda,Noord-Brabant,/social-media-beheer-breda/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
hosting,Breda,Noord-Brabant,/hosting-breda/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
branding-design,Breda,Noord-Brabant,/branding-design-breda/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
webdesign,Breda,Noord-Brabant,/webdesign/webdesign-breda/,existing-recovery,none,Regional cluster plan; only first-batch rows are generated in this phase.
seo-bureau,Breda,Noord-Brabant,/seo-bureau-breda/,existing-recovery,none,Regional cluster plan; only first-batch rows are generated in this phase.
website-laten-maken,Eindhoven,Noord-Brabant,/website-laten-maken-eindhoven/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
webshop-laten-maken,Eindhoven,Noord-Brabant,/webshop-laten-maken-eindhoven/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
online-marketing,Eindhoven,Noord-Brabant,/online-marketing/online-marketing-eindhoven/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
social-media-beheer,Eindhoven,Noord-Brabant,/social-media-beheer-eindhoven/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
hosting,Eindhoven,Noord-Brabant,/hosting-eindhoven/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
branding-design,Eindhoven,Noord-Brabant,/branding-design-eindhoven/,generated-first-batch,none,Regional cluster plan; only first-batch rows are generated in this phase.
webdesign,Eindhoven,Noord-Brabant,/webdesign/webdesign-eindhoven/,existing-recovery,none,Regional cluster plan; only first-batch rows are generated in this phase.
